project,bug_ID,patch_ID,label,verdict,consistency,time
Lang,44,268_NFL_kPAR_Patch_3382_1595,Incorrect,A,I,610.8781652450563
Lang,44,298_NFL_Nopol_Patch_1_1,Incorrect,A,I,610.9676132202147
Lang,44,412_NFL_TBar_Patch_4046_2567,Incorrect,A,I,610.9601736068727
Lang,44,Lang_bug44,Correct,A,C,610.9129688739778
Lang,44,Patch150,Incorrect,A,I,610.9962453842162
Lang,44,Patch21,Correct,A,C,611.0422601699829
Lang,46,111_PFL_DynaMoth_Patch_1_1,Correct,R,I,22.289389610290527
Lang,46,203_PFL_Nopol_Patch_1_1,Correct,R,I,22.23967409133911
Lang,46,269_NFL_Nopol_Patch_1_1,Correct,R,I,22.24416327476501
Lang,46,343_PFL_ARJA_Patch_5_5,Correct,R,I,22.188697338104248
Lang,46,408_PFL_RSRepair-A_Patch_1738_1089,Correct,R,I,22.361931562423703
Lang,46,Lang_bug46,Correct,R,I,22.31939697265625
Lang,46,Patch22,Incorrect,R,C,10.237940549850462
Lang,51,Lang_bug51,Correct,A,C,610.8623816967009
Lang,51,Patch151,Incorrect,R,C,35.50551223754883
Lang,51,Patch23,Incorrect,R,C,24.981378078460693
Lang,53,225_NFL_kPAR_Patch_1593_845,Incorrect,R,C,10.295715808868408
Lang,53,279_NFL_Nopol_Patch_1_1,Incorrect,A,I,610.827757358551
Lang,53,Lang_bug53,Correct,A,C,610.9033939838408
Lang,53,Patch152,Incorrect,A,I,610.8173189163207
Lang,53,Patch24,Incorrect,A,I,610.7501409053802
Lang,55,113_PFL_DynaMoth_Patch_1_1,Correct,A,C,611.1509940624238
Lang,55,206_PFL_Nopol_Patch_1_1,Incorrect,A,I,611.1962563991548
Lang,55,285_NFL_Nopol_Patch_1_1,Incorrect,A,I,611.1289038658143
Lang,55,Lang_bug55,Correct,A,C,611.3312468528748
Lang,55,Patch25,Correct,A,C,611.1910221576692
Lang,57,Lang_bug57,Correct,A,C,610.8418867588042
Lang,57,PatchHDRepair1,Correct,A,C,611.2397253513336
Lang,58,115_PFL_DynaMoth_Patch_1_1,Incorrect,R,C,22.816391706466675
Lang,58,157_PFL_kPAR_Patch_1_1,Incorrect,R,C,22.48184275627136
Lang,58,204_PFL_Nopol_Patch_1_1,Incorrect,R,C,22.992552995681766
Lang,58,227_NFL_kPAR_Patch_1889_735,Incorrect,R,C,22.95124125480652
Lang,58,286_PFL_TBar_Patch_9_9,Incorrect,R,C,22.98378276824951
Lang,58,29_PFL_AVATAR_Patch_5_5,Incorrect,A,I,610.8084056377411
Lang,58,375_NFL_TBar_Patch_1789_1078,Incorrect,R,C,22.898675203323364
Lang,58,457_PFL_SimFix_Patch_1_1,Correct,A,C,610.8414642810823
Lang,58,47_NFL_AVATAR_Patch_999_513,Incorrect,A,I,610.8146703243257
Lang,58,534_PFL_FixMiner_Patch_1_1,Incorrect,R,C,22.683959007263184
Lang,58,562_NFL_SimFix_Patch_1138_1138,Correct,A,C,610.7502567768098
Lang,58,Lang_bug58,Correct,A,C,611.0012655258179
Lang,58,Patch153,Incorrect,R,C,22.588552474975586
Lang,58,Patch26,Incorrect,R,C,22.756611585617065
Math,2,202_NFL_kPAR_Patch_155_56,Incorrect,A,I,615.3595888614656
Math,2,272_NFL_Nopol_Patch_1_1,Incorrect,A,I,615.3509387969972
Math,2,27_NFL_AVATAR_Patch_367_117,Incorrect,R,C,36.88254284858704
Math,2,345_NFL_TBar_Patch_468_285,Incorrect,A,I,615.5279841423035
Math,2,474_NFL_GenProg-A_Patch_35_11,Incorrect,A,I,615.6142594814299
Math,2,87_NFL_Kali-A_Patch_6_6,Incorrect,A,I,615.7003321647644
Math,2,Math_bug2,Correct,A,C,615.7910187244415
Math,2,Patch154,Incorrect,A,I,615.1331942081451
Math,2,Patch27,Incorrect,A,I,615.3977372646333
Math,2,Patch28,Incorrect,A,I,615.6601672172546
Math,3,248_PFL_ACS_Patch_1_1,Correct,A,C,615.2543432712555
Math,3,335_NFL_ACS_Patch_1_1,Correct,A,C,615.1405725479126
Math,3,Math_bug3,Correct,A,C,615.112603187561
Math,3,Patch194,Correct,A,C,615.3695566654205
Math,4,178_PFL_kPAR_Patch_4_2,Incorrect,R,C,14.726230144500732
Math,4,179_PFL_kPAR_Patch_2_1,Incorrect,R,C,14.472796440124512
Math,4,322_PFL_TBar_Patch_28_12,Incorrect,R,C,14.66924238204956
Math,4,323_PFL_TBar_Patch_16_6,Incorrect,R,C,17.441272735595707
Math,4,566_PFL_FixMiner_Patch_41_9,Incorrect,R,C,14.40603232383728
Math,4,567_PFL_FixMiner_Patch_24_6,Incorrect,R,C,17.163321495056152
Math,4,58_PFL_AVATAR_Patch_24_6,Incorrect,R,C,17.525235652923588
Math,4,59_PFL_AVATAR_Patch_40_11,Incorrect,R,C,14.423232316970825
Math,4,Patch155,Incorrect,R,C,14.402642488479614
Math,5,247_PFL_ACS_Patch_2_1,Correct,A,C,615.1202592849731
Math,5,334_NFL_ACS_Patch_2_1,Correct,A,C,614.9264743328093
Math,5,341_PFL_TBar_Patch_2_2,Correct,A,C,615.0532698631288
